paper_id,replacement_pct,age_days,strength_mpa,is_range,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,specific_gravity,mean_particle_um,specific_surface,bet_surface,blaine,wb_ratio,burn_temp_c,burn_duration,grind_duration,pozzolanic_reactivity,activation_method,mineralogy,processing_method,ctrl_strength_mpa,rel_strength,aggregate_replacement_suspect
0,7.0,3.0,20.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,10.0,3.0,20.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,15.0,3.0,20.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,7.0,7.0,29.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,10.0,7.0,30.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,15.0,7.0,31.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,7.0,28.0,44.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,10.0,28.0,46.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,15.0,28.0,47.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,7.0,56.0,52.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,10.0,56.0,54.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,15.0,56.0,56.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,7.0,90.0,54.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,10.0,90.0,55.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
0,15.0,90.0,58.4,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,0.5,650.0,60.0,,2.0,thermal,crystalline,controlled_burn,,,False
1,10.0,3.0,46.2,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,7.0,56.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,28.0,68.1,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,150.0,71.1,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,3.0,35.3,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,7.0,46.8,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,28.0,57.3,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,150.0,57.4,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,3.0,31.5,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,7.0,39.3,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,28.0,47.7,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,150.0,48.8,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,3.0,47.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,7.0,61.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,28.0,71.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,150.0,72.4,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,3.0,46.7,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,7.0,56.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,28.0,70.2,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,150.0,70.3,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,3.0,43.1,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,7.0,51.7,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,28.0,63.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,150.0,63.2,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,7.0,36.6,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,28.0,46.3,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,150.0,56.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,7.0,32.9,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,28.0,43.3,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,7.0,26.3,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,28.0,36.7,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,7.0,24.2,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,28.0,31.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,7.0,35.7,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,10.0,28.0,45.7,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,7.0,33.8,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,20.0,28.0,45.0,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,7.0,32.5,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
1,30.0,28.0,39.7,False,80.0,3.82,3.93,0.41,0.25,0.78,0.67,1.45,8.56,,2.11,,,,,0.3142857142857143,550.0,24.0,90.0,,both,,burn_other,,,False
4,5.0,1.0,5.0,False,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,,,False
4,5.0,3.0,5.0,False,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,,,False
4,5.0,7.0,5.0,False,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,,,False
4,5.0,28.0,5.0,False,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,,,False
4,5.0,14.0,5.0,False,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,,,False
4,5.0,90.0,5.0,False,87.32,0.48,0.22,0.28,0.28,,1.02,3.14,2.1,87.0,2.06,3.8,36.47,36.47,,0.53,650.0,1.0,,2.0,both,crystalline,burn_other,,,False
6,0.0,3.0,16.5,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,16.5,1.0,False
6,0.0,7.0,30.2,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,30.2,1.0,False
6,0.0,28.0,40.3,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,40.3,1.0,False
6,0.0,90.0,50.3,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,50.3,1.0,False
6,7.0,3.0,16.8,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,16.5,1.0181818181818183,False
6,7.0,7.0,32.4,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,30.2,1.0728476821192052,False
6,7.0,28.0,42.8,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,40.3,1.0620347394540943,False
6,7.0,90.0,54.4,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,50.3,1.0815109343936382,False
6,10.0,3.0,17.6,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,16.5,1.0666666666666667,False
6,10.0,7.0,32.6,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,30.2,1.0794701986754967,False
6,10.0,28.0,44.2,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,40.3,1.0967741935483872,False
