paper_id,paper_title,authors,journal,year,doi,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct,n_measurements,aggregate_replacement_suspect,in_scope
17,Mortars with thermo activated recycled cement: Fresh and mechanical characterisation,"Ana Carriço, Sofia Real, José Alexandre Bogas, Manuel Francisco Costa Pereira",Construction and Building Materials,2020,https://doi.org/10.1016/j.conbuildmat.2020.119502,,16.04,,,,,,,,,,,,85.0,,,,,,755.3333333333334,0.6288888888888889,650.0,5.0,,,,thermal,combined,other,other,35.0,20.0,39,False,True
18,Strength enhancement of artificial aggregate prepared with waste concrete powder and its impact on concrete properties,"Yi Jiang, Tung-Chai Ling, Minjiao Shi",Journal of Cleaner Production,2020,https://doi.org/10.1016/j.jclepro.2020.120515,51.8,22.8,13.6,5.6,1.4,0.8,,2.6,,,1.8,22.4,158.9,22.4,,3550.0,,,,,,,,,,0.0,multiple,other,,powder,,,0,False,False
19,Use of concrete fine fraction waste as a replacement of Portland cement,"Thays C.F. Oliveira, Bianca G.S. Dezen, Edna Possan",Journal of Cleaner Production,2020,https://doi.org/10.1016/j.jclepro.2020.123126,20.4375,12.2875,5.925,7.987500000000001,2.6875,1.75,2.1375,1.8375,5.075,,,,,24.18625,,,2500.0,,2.77,2341.428571428572,0.515,,,,,0.0,,other,,other,25.0,0.0,19,False,True
20,"Surface characterization of carbonated recycled concrete fines and its effect on the rheology, hydration and strength development of cement paste","Xiaowei Ouyang, Liquan Wang, Shida Xu, Yuwei Ma, Guang Ye",Cement and Concrete Composites,2020,10.1016/j.cemconcomp.2020.103809,,,,,,,,,,,,38.82,,,710.0,,,,,,0.4,,,,,1.0,carbonation,milling,calcite,paste,,,0,False,True
21,Study on Properties of Waste Concrete Powder by Thermal Treatment and Application in Mortar,"Yuwu Sui, Chuping Ou, Shu Liu, Jinshuai Zhang and Qingbo Tian",Applied Sciences,2020,10.3390/app10030998,20.5,56.75,8.42,3.99,3.84,3.49,0.49,1.08,1.04,,,,330.2325,15.42,,,,,,,0.5,540.0,3.0,,,,thermal,combined,,powder,30.0,0.0,26,False,True
22,The utilization of eco-friendly recycled powder from concrete and brick waste in new concrete: A critical review,"Qin Tang, Zhiming Ma, Huixia Wu, Wan Wang",Cement and Concrete Composites,2020,https://doi.org/10.1016/j.cemconcomp.2020.103807,50.0,25.0,8.5,5.5,,,,,,,,29.55529411764706,,9.06,527.22,,,,,,0.43625,675.0,45.0,56.333333333333336,,2.0,multiple,combined,other,powder,30.0,,26,False,True
23,Wet-milling disposal of autoclaved aerated concrete demolition waste - A comparison with classical supplementary cementitious materials,"Jin Yang, Linghao Zeng, Zechun Su, Xingyang He, Ying Su, Rixu Zhao, Xiangchen Gan",Advanced Powder Technology,2020,https://doi.org/10.1016/j.apt.2020.07.016,36.1,22.5,18.4,3.1500000000000004,1.75,1.35,,,13.8,,7.343500000000001,72.165,444.8,,1750.0,,,,,,0.35,,,120.0,,1.0,mechanical,combined,mixed,aac,,30.0,8,False,True
24,"Utilization of Recycled Concrete Powder in Cement Composite: Strength, Microstructure and Hydration Characteristics","Xi Chen, Ying Li, Hualei Bai, Liyuan Ma",Journal of Renewable Materials,2021,10.32604/jrm.2021.015394,27.8,29.1,6.7,2.73,4.49,1.11,0.56,1.09,,,,,,,467.0,,,,,856.0,0.475,,,,,,,combined,,powder,9.0,0.0,22,False,True
25,A novel upcycling technique of recycled cement paste powder by a two-step carbonation process,"Xiaoliang Fang, Dongxing Xuan, Baojian Zhan, Weifeng Li, Chi Sun Poon",Journal of Cleaner Production,2021,https://doi.org/10.1016/j.jclepro.2020.125192,21.3,64.1,5.63,3.22,1.15,3.54,,0.56,,,,16.6,65.2,,,,,,,,,,,,,,carbonation,combined,,paste,,,0,False,True
26,Investigation of using recycled powder from the preparation of recycled aggregate as a supplementary cementitious material,"Shujun Li, Jianming Gao, Qiuyi Li, Xiaolong Zhao",Construction and Building Materials,2021,https://doi.org/10.1016/j.conbuildmat.2020.120976,50.93,18.18,13.55,6.37,2.73,0.92,,3.5,11.32,,,,,,,2687.5,637.75,,,,0.5,,,,,0.0,,milling,,powder,,0.0,10,False,True
27,Comparison of technical properties of cement pastes with different activated recycled powder from construction and demolition waste,"Tao Meng, Yongpeng Hong, Kanjun Ying, Zhongjia Wang",Cement and Concrete Composites,2021,https://doi.org/10.1016/j.cemconcomp.2021.104065,65.26,4.48,11.05,3.18,1.34,,0.22,1.87,7.21,,,,,61.7744,,,,,,,0.3,,,30.0,,2.0,none,milling,,powder,,0.0,9,False,True
28,Use of fine recycled concrete aggregates in concrete: A critical review,"Marija Nedeljković, Jeanette Visser, Branko Šavija, Siska Valcke, Erik Schlangen",Journal of Building Engineering,2021,10.1016/j.jobe.2021.102196,56.0,15.442857142857145,8.379999999999999,2.4333333333333336,,0.624,1.32,,13.75,,,,,,6400.0,,,,,,0.52,,,,,0.0,multiple,combined,mixed,fines,,,27,True,True
29,Environmental perspectives of recycled concrete powder as cement replacement,Jan Pešta; Michal Ženíšek; Vladimír Kočí; Tereza Pavlů,AIP Conference Proceedings (AIP Conf. Proc.),2021,https://doi.org/10.1063/5.0042093,,,,,,,,,11.9,,3.5,19.0,65.0,22.0,,,230.0,,,,,,,,,,,crushing,,powder,10.0,,6,False,True
