paper_id,paper_title,authors,journal,year,doi,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct,n_measurements,aggregate_replacement_suspect,in_scope
61,Supplementary cementitious materials based on recycled concrete paste,"Maciej Zajac, Jan Skocek, Łukasz Gołek, Jan Deja",Journal of Cleaner Production,2023,10.1016/j.jclepro.2022.135743,37.10666666666666,25.19,5.183333333333334,1.846666666666667,2.046666666666667,1.46,0.3366666666666666,0.7133333333333334,25.19,,2.0316666666666667,20.575,91.23333333333332,,,17281.81818181818,,,,,0.55,1400.0,,,,1.0,carbonation,milling,other,paste,,,0,False,True
62,"Roles of carbonated recycled fines and aggregates in hydration, microstructure and mechanical properties of concrete: A critical review","Tong Zhang, Meng Chen, Yuting Wang, Mingzhong Zhang",Cement and Concrete Composites,2023,https://doi.org/10.1016/j.cemconcomp.2023.104994,,1.4433333333333334,0.25,,,,,,,,,,,,,,,13.64,,,0.55,70.0,3.625,,,2.0,carbonation,,mixed,fines,20.0,0.0,3,False,True
63,Recycled Construction and Demolition Waste as Supplementary Cementing Materials in Eco-Friendly Concrete,"Silvina V. Zito, Edgardo F. Irassar, Viviana F. Rahhal",Recycling,2023,https://doi.org/10.3390/recycling8040054,62.36,8.36,12.03,4.19,0.93,0.15,1.44,3.34,6.01,,1.11,6.58,44.23,,660.0,,660.0,,2.58,,0.5,,,,,2.0,mechanical,combined,mixed,powder,,0.0,18,False,True
64,Physical-chemical characterization of construction and demolition waste powder with thermomechanical activation for use as supplementary cementitious material,"Tamara Francisca Baggio, Edna Possan, Jairo José de Oliveira Andrade",Construction and Building Materials,2024,10.1016/j.conbuildmat.2024.136907,51.57333333333333,9.8,9.816666666666668,3.155,1.6883333333333332,0.365,0.4966666666666666,1.445,4.641666666666667,,60.33083333333334,326.8831578947369,90.73083333333334,,,12185.454545454546,,,2.602,,0.5,750.0,2.0,3.333333333333333,30.0,1.0,multiple,crushing,,cdw,,,16,False,True
65,Ureolytic bacteria-assisted recycling of waste concrete fines,"P. Holeček, K. Kliková, D. Koňáková, H. Stiborová, V. Nežerka",Powder Technology,2024,https://doi.org/10.1016/j.powtec.2023.119310,39.79,33.485,10.935,,2.015,1.25,1.565,2.725,0.31,0.29,1.1949999999999998,4.025,10.51,6.205,,,,,,,,,,,,,other,combined,calcite,fines,,,0,False,True
66,Enhancing the Mechanical and Durability Properties of Fully Recycled Aggregate Concrete Using Carbonated Recycled Fine Aggregates,"Birori Jean, Hui Liu, Xudong Zhu, Xinjie Wang, Xiancui Yan, Tianyu Ma",Materials,2024,https://doi.org/10.3390/ma17081715,,,,,,,,,,,,,,,,,,7.85,,2526.5,,,,,,,carbonation,crushing,calcite,other,,,6,True,True
67,A Review of the Utilization of Recycled Powder from Concrete Waste as a Cement Partial Replacement in Cement-Based Materials: Fundamental Properties and Activation Methods,"Kubilay Kaptan, Sandra Cunha, José Aguiar",Applied Sciences,2024,10.3390/app14219775,48.75,26.15,8.0,4.35,,,,,6.0,,,53.35,,17.8,626.2733333333333,,6664.5,,2.470666666666667,,0.4,715.625,,58.75,,1.0,multiple,combined,mixed,fines,27.5,,0,False,True
68,REUSE OF FINE CONCRETE DEMOLITION WASTES AS A SUPPLEMENTARY CEMENTITIOUS MATERIAL IN CONCRETE,"LYNDA KHEDDACHE, DJAMILA ABOUTALEB, BRAHIM SAFI, SAMIR LECHEB, AHMED CHELLIL AND HAMZA MECHAKRA",HUNGARIAN JOURNAL OF INDUSTRY AND CHEMISTRY,2024,10.33927/hjic-2024-15,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,crushing,,cdw,10.0,,45,False,True
69,Thermal activation of multi-recycled concrete powder as supplementary cementitious material for repeated and waste-free recycling,"Jeonghyun Kim, Andrzej Ubysz",Journal of Building Engineering,2024,https://doi.org/10.1016/j.jobe.2024.111169,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.663333333333333,,2.4250000000000003,,,,,,,,,,,,2198.333333333333,0.5,500.0,2.0,,,2.0,thermal,combined,,powder,25.0,,74,False,True
70,"Recycled concrete fines as a supplementary cementitious material: Mechanical performances, hydration, and microstructures in cementitious systems","Jun Li, Xin Deng, Zhongyuan Lu, Xiaoying Li, Li Hou, Jun Jiang, Fengyuan Yang, Junjin Zhang, Kewen He",Case Studies in Construction Materials,2024,10.1016/j.cscm.2024.e03575,33.7,32.02,8.026666666666666,4.416666666666667,1.62,1.64,0.98,1.0333333333333334,14.72,,,39.23333333333333,,,,11813.333333333334,,,2.48,,0.5,,,,,2.0,none,crushing,,fines,10.0,0.0,53,False,True
71,Reusing Waste Concrete Recycled Powder in Mortar: Paste Substitution versus Cement Substitution,"Leo Gu Li, Ze-Cheng Lu, Pui-Lam Ng, Zhong-Ping Chen, Xiaowei Deng",Journal of Materials in Civil Engineering,2024,10.1061/JMCEE7.MTENG-17101,,,,,,,,,,,,,,102.0,,,,,2.56,,0.475,105.0,8.0,,,,thermal,combined,other,powder,12.0,12.0,56,False,True
72,Use of carbonated recycled cement paste powder as a new supplementary cementitious material: A critical review,"Yuguang Mao, Xiang Hu, Ubagaram Johnson Alengaram, Wei Chen, Caijun Shi",Cement and Concrete Composites,2024,https://doi.org/10.1016/j.cemconcomp.2024.105783,,,,,,,,,,17.5,,,,,,,,,,,,140.0,,,,2.0,carbonation,combined,mixed,paste,15.0,,0,False,True
73,Transforming construction and demolition waste concrete as a precursor in sustainable cementitious materials: An innovative recycling approach,"Juliana Rodriguez-Morales, Oswaldo Burciaga-Diaz, Lauren Y. Gomez-Zamorano, J. Ivan Escalante-Garcia","Resources, Conservation & Recycling",2024,https://doi.org/10.1016/j.resconrec.2024.107474,5.98,87.11,1.93,0.81,1.7,1.2,0.71,0.57,,,,,,28.56,,,,,,,0.23,,,,,2.0,chemical,combined,mixed,other,,25.0,110,False,True
74,Improving the reactivity of industrial recycled concrete fines: Exploring mechanical and hydrothermal activation,"Leila Nobrega Sousa, J.C.O. Zepper, Katrin Schollbach, H.J.H. Brouwers",Construction and Building Materials,2024,https://doi.org/10.1016/j.conbuildmat.2024.137594,72.57,11.68,4.98,2.05,0.8,0.84,,0.92,5.86,,,69.17357142857144,,,,,,,,,0.55,195.0,8.0,166.0,179.0,1.0,multiple,crushing,mixed,fines,,,0,False,True
75,"Utilization of all components of waste concrete: Recycled aggregate strengthening, recycled fine powder activity, composite recycled concrete and life cycle assessment","Chao-qiang Wang, Lin-xiao Cheng, Yan Ying, Fei-hua Yang",Journal of Building Engineering,2024,https://doi.org/10.1016/j.jobe.2023.108255,18.12,41.06,5.78,2.16,1.78,2.28,,0.86,11.383333333333336,,,,,23.08,,,,,,,0.45,,,10.0,,2.0,mechanical,combined,other,powder,20.0,0.0,10,False,True
76,Experimental Research on the Performance of Recycled Waste Concrete Powder (RWCP) on Concrete,"Shuai Wang, Aixun Wang, Xudong Fu, Xianwei Zhang, Zhe Li, Yongjun Guo, Shenghao Li, Mingzhao Wang",Materials,2024,10.3390/ma17215319,52.46,11.436,12.998,3.077,1.735,0.723,2.817,3.722,10.1,,,,,,13501.42857142857,,,,,,,,,37.5,48.0,,mechanical,combined,mixed,powder,,0.0,39,False,True
77,Study on the effect of recycled fine powder on the properties of cement mortar and concrete,"Pei Yu, Tang Li, Suqin Gao",Desalination and Water Treatment,2024,https://doi.org/10.1016/j.dwt.2024.100481,,,,,,,,,,,,28.975,60.27,,485.0,,,,,,0.75,,,,,,chemical,crushing,,powder,11.0,5.0,31,False,True
78,"Effect of carbonated recycled concrete fines on early-age engineering properties, hydration and microstructure of cement paste under high substitution level and low water-to-binder ratio","Tong Zhang, Jiaze Cui, Meng Chen, Xiaowei Ouyang, Zhiguo Yan",Journal of Building Engineering,2024,https://doi.org/10.1016/j.jobe.2024.110376,,,,,,,,,,,,30.065,,,,,,,,,0.2,,,,,,carbonation,combined,,fines,30.0,40.0,12,False,True
79,Highly reactive carbonated recycled concrete fines prepared via mechanochemical carbonation: Influence on the early performance of cement composites,"Yingliang Zhao, Kai Cui, Jionghuang He, Yong Zheng, Peiliang Shen, Chi Sun Poon, Guangmin Peng, Ruilai Guo, Daohui Xia",Cement and Concrete Composites,2024,https://doi.org/10.1016/j.cemconcomp.2024.105636,18.4,67.6,5.12,3.53,1.08,2.76,,0.66,32.35,,,6.0600000000000005,,1.0,,,,,,,0.4,,,31.0,500.0,2.0,multiple,milling,mixed,fines,10.0,10.0,35,False,True
80,Assessment of the potential use of construction and demolition waste (CDW) fines as eco-pozzolan in binary and ternary cements,"Daniela Oliveira de Lima, Douglas Sadalla de Lira, Moisés Frías Rojas, Holmer Savastano Junior",Construction and Building Materials,2024,https://doi.org/10.1016/j.conbuildmat.2023.134320,26.68,38.93,9.19,9.19,2.76,1.95,0.48,1.21,14.4,,,24.0,,,,13550.0,,,2.44,,0.4,,,,,1.0,,combined,mixed,cdw,25.0,0.0,36,False,True
81,Experimental and Numerical Assessment of Sustainable Concrete Using Recycled Concrete Powder (RCP) as a Partial Replacement for Cement,"Hafiz Asfandyar Ahmed, Waqas Arshad Tanoli",Materials,2025,https://doi.org/10.3390/ma18133108,15.35,32.4,5.9,1.57,2.4,1.94,,,28.44,,,,,23.1,,,,,,,,,,1.0,,1.0,mechanical,combined,,powder,21.5,0.0,13,False,True
82,Using Fines from Recycled High-Quality Concrete as a Substitute for Cement,"Laurena De Brabandere, Vadim Grigorjev, Philip Van den Heede, Hannah Nachtergaele, Krist Degezelle, Nele De Belie",Sustainability,2025,10.3390/su17041506,18.835,23.66,3.01,1.66,1.11,,0.7450000000000001,0.8533333333333334,,35.0,1.6,24.0,159.0,,,,,7.7,2.4533333333333336,2453.333333333333,0.4475,,,5.0,,,mechanical,combined,mixed,fines,10.0,0.0,37,False,True
83,Redefining the cement substitution potential of recycled concrete powder using graphene oxide coating,"Yuan Gao, Fufu Zou, Siyao Wang, Hao Sui, Jiajian Yu, Bin Xu, Weiqiang Chen, Yanming Liu",Cement and Concrete Composites,2025,https://doi.org/10.1016/j.cemconcomp.2025.106276,32.7,17.72,9.81,7.65,4.37,3.27,1.8,1.52,18.1,,,,,,,,,,2.7025,,0.5,,,,,2.0,other,combined,mixed,powder,30.0,,19,False,True
84,Clean and high-value recycling approach for waste concrete powder: Mechano-chemical activation of pozzolanic activity,"Qiang Gao, Xi-guang Li, Xiao-dong Shi, Xin-long Li, Xian-jun Lyu, Xiang-nan Zhu, Yang-guang Ren",Powder Technology,2025,https://doi.org/10.1016/j.powtec.2025.120988,48.82,25.5,9.43,7.87,0.42,1.16,,6.48,,43.066,35.05571428571429,39.98571428571428,67.05714285714286,,686.4000000000001,,,,,,0.75,,,80.0,,2.0,multiple,combined,mixed,powder,,0.0,23,False,True
85,"Impact of Recycled Concrete and Ceramic Fillers on the Performance of Cementitious Systems: Microstructural, Mechanical, and Durability Aspects","Tianjun Han, Diego Aponte, Susana Valls, Marilda Barra Bizinotto",Recycling,2025,https://doi.org/10.3390/recycling10030108,53.03,15.78,7.605,2.755,1.96,0.835,,2.295,14.245,,,12.35,,,,,,,,2630.0,0.528,,,,,1.0,,,calcite,other,10.0,0.0,34,False,True
86,Performance of concrete containing waste demolished concrete powder as a partial substitute for cement,"Muhammad Haroon, Raja Bilal Nasar Khan and Anwar Khitab",International Journal of Building Pathology and Adaptation,2025,10.1108/IJBPA-01-2024-0002,44.815,37.955,8.725,4.445,,1.76,,1.44,,,,,,,,,,,2.46,,0.6,825.0,,,,,thermal,milling,,powder,,0.0,6,False,True
87,Hydration characteristics of cement blended with thermally reactivated recycled concrete demolition waste,"Tamer H. A. Hasanin, Sultan A. Alsahli, Hamud A. Altaleb, Basmah H. Alshammari & M. A. Tantawy",Scientific Reports,2026,https://doi.org/10.1038/s41598-025-31881-7,25.75,52.18,2.38,1.86,2.51,2.16,0.46,0.62,11.65,,,,,,739.1111111111111,,,,,,0.5,600.0,2.5,,,1.0,thermal,combined,portlandite,cdw,20.0,10.0,1,False,True
88,The Effect of Activation Methods on the Mechanical Properties of Cement Mortars with Recycled Powder from Concrete Waste as a Cement Partial Replacement: A Review,"Kubilay Kaptan, Sandra Cunha, José Aguiar",Sustainability,2025,10.3390/su17104502,,,,,,,,,,,,75.0,,,,,,,,,,609.0909090909091,,41.54166666666666,,1.0,multiple,combined,mixed,fines,25.0,10.0,23,False,True
89,Effect of recycled concrete powder on the rheological properties of cement paste: New findings,"Tian Li, Rita Nogueira, Jorge de Brito, Paulina Faria, Jiaping Liu",Cement and Concrete Composites,2025,10.1016/j.cemconcomp.2024.105873,61.182,8.234,15.207,7.176,2.574,0.172,1.457,3.088,,,2.504,29.881,81.52,,,,,,,,0.3,,,,,,,crushing,,powder,,,0,False,True
90,Developing fully recycled alkali-activated mortar made with waste concrete fines as a substitute for both binder and sand: Multi-properties evaluation,"Zhiming Ma, Yuanhui Wu, Kun Fang, Youchao Zhang, Changqing Wang",Construction and Building Materials,2025,https://doi.org/10.1016/j.conbuildmat.2025.141323,,,,,,,,,,,,,,,,,,,,,0.4,,,,,2.0,chemical,combined,mixed,fines,40.0,30.0,38,False,True
91,Influence of particle size and content of recycled concrete powder on the hydration and compressive strength of Portland cement-based materials,"Alice Vilela Nair, Nahúm Gamalier Cayo Chileno, Joaquin Humberto Aquino Rocha, Romildo Dias Toledo Filho",Innovative Infrastructure Solutions,2025,https://doi.org/10.1007/s41062-025-02286-2,10.05,26.038333333333338,6.801666666666667,3.85,,2.033333333333333,,2.17,5.223333333333334,,3.073333333333333,17.383333333333336,50.89166666666667,,,,,,2.61,,0.4,,,31.2,,1.0,mechanical,combined,,powder,6.5,0.0,30,False,True
92,Durability of cement mortars containing fine demolition wastes as supplementary cementitious materials,"Anna Tokareva, Danièle Waldmann",Construction and Building Materials,2025,https://doi.org/10.1016/j.conbuildmat.2025.141316,38.32,24.096666666666668,7.8066666666666675,5.153333333333333,1.37,1.5433333333333337,0.3733333333333333,1.9,18.33333333333333,,,,,,,,,,2.5385000000000004,,0.5,500.0,2.0,,,,thermal,combined,,cdw,,,7,False,True
93,Improvement of mechanical properties of high-volume recycled powder concrete by a novel compression casting method,"Zhihao Wang, Yu-Fei Wu",Construction and Building Materials,2025,https://doi.org/10.1016/j.conbuildmat.2024.139485,60.53,17.51,12.15,2.72,1.17,1.37,0.73,3.03,,,,10.1,,,,,,,,,0.53,,,,,1.0,,combined,mixed,powder,45.0,,40,False,True
94,Mechanical properties and microstructures of thermally activated ultrafine recycled fine powder cementitious materials,"Muwang Wei, Liuyi Chen, Nengzhong Lei, Huawei Li, Lei Huang",Construction and Building Materials,2025,https://doi.org/10.1016/j.conbuildmat.2025.141195,44.89,26.23,13.28,4.48,5.27,1.07,1.71,1.8,,33.919999999999995,1.7366666666666666,9.21,27.776666666666667,,,,,1.0,,,0.5,700.0,2.0,,,1.0,multiple,milling,mixed,fines,45.0,13.9,49,False,True
95,"Thermal-activated recycled cement powder synergized with fly ash as supplementary cementitious in Portland cement: Strength, microstructure and environmental benefits","Wen-qiang Zhai, Ruo-miao Sun, Yu-dong Xie, Hao-chen Ding, Yilin Su, Zhi-hai He",Construction and Building Materials,2025,https://doi.org/10.1016/j.conbuildmat.2025.141018,19.46,56.58,3.92,3.15,2.78,2.54,,,9.6,,,11.6,,,,,,,,,0.5,650.0,2.0,,,,thermal,combined,,powder,10.0,10.0,20,False,True
96,"Effect of Thermally Activated Construction and Demolition Waste as Partial Cement Replacement on the Physical, Mechanical, and Durability Properties of Low-Carbon Concrete","Sandra Cunha, Kubilay Kaptan, Adelino Elias Chiaqui, José Aguiar",Buildings,2026,https://doi.org/10.3390/buildings16122320,57.5,23.55,8.55,3.75,0.55,0.4,0.0,1.9,,,1.9,28.9,151.0,,1086.7,,,,,2860.0,0.535,600.0,4.0,42.4,,1.0,multiple,combined,,cdw,15.0,0.0,15,False,True
97,Influence of thermally activated artificial concrete fines composition on concrete long-term behavior,"Jan P. Höffgen, Marius Schmitt, Frank Dehn",Journal of Building Engineering,2026,https://doi.org/10.1016/j.jobe.2026.115767,41.74090909090909,45.47142857142857,,,,,,,,,198.0714285714286,203.50357142857143,220.31785714285712,,,22351.875,,,,2629.090909090909,0.4225,366.6666666666667,6.0,,,2.0,thermal,combined,other,fines,,,0,False,True
98,"Thermal Treatment of Recycled Concrete Fines for Sustainable Cement: Linking Physicochemical Transformations, Reactivity, and Life Cycle Assessment","Rui Jing, Jian Li Hao, Han-Mei Chen, Engui Liu",ACS Omega,2026,10.1021/acsomega.5c09513,,,,,,,,,,,,,,,,,,,,,0.4,600.0,2.0,,,,thermal,crushing,mixed,fines,10.0,5.0,47,False,True
99,Carbonation behavior of reactivated recycled concrete fines containing residual sand: Effects of Ca/Si ratio adjustment and activation temperature,"Yutong Ju, Ye Li, Xiangping Xian, Tiejun Liu",Carbon Capture Science & Technology,2026,https://doi.org/10.1016/j.ccst.2025.100557,42.96,43.28,5.21,3.06,1.91,2.13,,0.5,,,,,,,,,,,,,0.4,1000.0,3.0,15.0,650.0,,multiple,combined,mixed,paste,,,14,False,True
100,Durability Behavior of Portland Cement Mortars with Recycled Powder from Concrete Waste as a Cement Partial Replacement: A Review,"Kubilay Kaptan, Sandra Cunha, José Aguiar",Sustainability,2026,https://doi.org/10.3390/su18052561,53.0,20.0,12.5,4.5,,,,,,,,,,112.5,1200.0,,,,,,,750.0,,62.5,,1.0,multiple,milling,mixed,powder,17.5,,0,False,True
101,Enhancing recycled cement paste powder as a high-performance supplementary cementitious material via synergistic carbonation and ultrasonic processing,"Wenjing Ma, Jiongqi Chen, Meng Zhou, Xiaowei Ouyang, Yuwei Ma, Guang Ye, Zongjin Li, Jiyang Fu",Construction and Building Materials,2026,10.1016/j.conbuildmat.2026.146727,22.33,60.16,5.75,5.06,2.08,,,,4.44,,,,,0.2128,25836.666666666668,25836.666666666668,,,,,0.4,,,4.0,,2.0,carbonation,combined,mixed,paste,,23.39,2,False,True
102,Mechanochemical activation of recycled concrete fines to produce supplementary cementitious materials,"Ilda Tole, Ankit Kothari, Magdalena Rajczakowska, Andrzej Cwirzen",Construction and Building Materials,2026,https://doi.org/10.1016/j.conbuildmat.2026.146017,26.13,52.8,1.27,1.54,,,0.131,0.288,17.5,,13.134444444444446,30.911111111111115,108.96666666666668,,,,,,,,0.45,,,25.0,500.0,1.0,multiple,crushing,,fines,,0.0,12,False,True
103,Optimization of calcined concrete waste powder as supplementary cementitious material: a comprehensive study on performance and sustainability,"Nurullah Öksüzer, Muhammed Talha Ünal",Journal of the Australian Ceramic Society,2026,https://doi.org/10.1007/s41779-025-01302-z,45.38,19.85,12.43,9.87,2.32,0.95,0.08,4.12,4.15,,,17.0,,17.0,,,,,,,0.4,1000.0,2.0,24.0,70.0,2.0,multiple,combined,quartz,powder,20.0,0.0,12,False,True
