paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct,ctrl_strength_mpa,rel_strength,aggregate_replacement_suspect
5,,0.0,2.0,26.6,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,26.6,1.0,False
5,,0.0,7.0,36.8,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,36.8,1.0,False
5,,0.0,28.0,45.8,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,45.8,1.0,False
5,,0.0,90.0,52.0,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,52.0,1.0,False
5,,25.0,2.0,24.8,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,26.6,0.9323308270676691,False
5,,25.0,7.0,32.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,36.8,0.8885869565217392,False
5,,25.0,28.0,38.4,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,45.8,0.8384279475982533,False
5,,25.0,90.0,38.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,52.0,0.7442307692307693,False
5,,50.0,2.0,10.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,26.6,0.4022556390977443,False
5,,50.0,7.0,14.0,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,36.8,0.3804347826086957,False
5,,50.0,28.0,16.4,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,45.8,0.35807860262008734,False
5,,50.0,90.0,17.3,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,52.0,0.33269230769230773,False
5,,75.0,2.0,2.5,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,26.6,0.09398496240601503,False
5,,75.0,7.0,5.7,,False,True,,sheet1,,,,,,,,,,,,8.8,,,,,,,,,0.6699999999999999,,,,,0.0,,crushing,mixed,fines,25.0,0.0,36.8,0.1548913043478261,False
