paper_id,segment,cell_preview
4,M2=12.8,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M3=13.8,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M4=12.2,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M6=11.1,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M7=10.4,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M0=20.9,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M1=22.1,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M2=24.4,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M3=28.9,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M4=24.8,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M6=20.74,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M7=18.4,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M0=27.2,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M1=27.4,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M2=27.8,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M3=29.3,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M4=28.3,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M6=27.4,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M7=26.4,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M0=37.0,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M1=38.9,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M2=42.8,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M3=46.7,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M4=39.8,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M6=37.0,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,M7=36.0,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R0=32.3,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R1=27.6  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R2=28.0  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R3=36.0  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R4=39.3  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R6=37.6  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R7=31.1  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R0=37.1,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R1=34.2  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R2=41.3  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R3=41.8  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R4=29.7  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R6=33.5  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R7=35.1  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R0=27.2,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R1=40.0  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R2=35.3  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R3=29.3  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R4=42.5  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R6=27.4  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R7=25.7  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R0=38.3,"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R1=43.3  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R2=44.8  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R3=45.7  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R4=46.0  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R6=38.7  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
4,R7=37.2  [pct not in declared levels],"Mortar (1-day): M0=11.6, M1=12.0, M2=12.8, M3=13.8, M4=12.2, M5=11.7, M6=11.1, M7=10.4;
Mortar (3-day): M0=20.9, M1=22.1"
5,22.92,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,30.58,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,29.58,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,22.64,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,22.64,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,21.82,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,9.86,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,15.80,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
5,16.35,"22.92, 30.58, 29.58, 22.64, 22.64, 21.82, 9.86, 15.80, 16.35"
9,25.7 (M1,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,38.7 (M1,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,43.5 (M1,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,25.1 (M2,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,7d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,46.1 (M2,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,28d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,40.6 (M2,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,90d),"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
9,23.7 (M3,"25.7 (M1, 7d); 38.7 (M1, 28d); 43.5 (M1, 90d); 25.1 (M2, 7d); 46.1 (M2, 28d); 40.6 (M2, 90d); 23.7 (M3, 7d); 42.7 (M3, 2"
