paper_id,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,d10,d50,d90,mean_particle_um,specific_surface,bet_surface,blaine,water_absorption,specific_gravity,bulk_density,wb_ratio,thermal_temp_c,thermal_duration,grind_duration,grind_speed,pozzolanic_reactivity,activation_method,processing_method,mineralogy,material_family,reported_optimum_pct,empirical_optimum_pct
41,41.0,46.333333333333336,4.0,2.6666666666666665,3.6666666666666665,,,,,,,50.36666666666666,,,,,,,,,0.5,,,,,1.0,,combined,mixed,paste,7.5,
42,57.02,21.32,10.93,3.45,2.54,1.17,,,,,,75.0,,86.4,,,,,,,0.6,,,,,1.0,,other,,powder,30.0,0.0
43,57.01,21.3,10.93,3.45,1.82,1.17,1.58,2.22,,,,,,,,,,,,,0.45,,,30.0,,,mechanical,combined,,powder,10.0,
44,17.08,11.39,1.89,0.57,0.53,0.4,,0.22,67.58,,1.78,14.2,44.7,,,,,12.033333333333333,2.33,,0.415,,,,,0.0,,combined,,fines,10.0,10.0
45,37.38,36.86,6.03,4.06,2.5,1.8,0.8,,13.41,,,49.416333333333334,,49.333333333333336,511.59999999999997,,,,,,,750.0,,62.5,,1.0,multiple,combined,mixed,paste,25.0,
46,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,combined,,fines,30.0,
47,48.69,30.94,9.0,4.35,2.73,1.04,0.94,1.81,17.13,,,25.29,,,2339.5,,351.0,,2.5,,0.5,,,,,1.0,,crushing,mixed,powder,15.0,15.0
48,39.46666666666667,37.596666666666664,9.413333333333332,5.18,1.9000000000000001,1.9266666666666667,1.1466666666666667,1.2133333333333334,15.366666666666667,,5.2299999999999995,39.233333333333334,86.63333333333333,,,11818.333333333334,,,2.48,,0.45,,,,,,,combined,calcite,powder,10.0,
49,,,,,,,,,6.412499999999999,,3.5,13.666666666666666,59.0,,234.60000000000002,,,,,2478.8888888888887,,,,10.0,600.0,0.0,,combined,,powder,,
50,17.44,22.82166666666667,5.178333333333334,5.191666666666667,1.581666666666667,1.6633333333333333,,2.4250000000000003,,,,,,,,,,,,2198.3333333333335,0.484,,,,,,,combined,,powder,15.0,
51,29.25,42.54,6.865,6.365,1.1199999999999999,1.22,0.2,4.404999999999999,16.42,37.1,3.089,13.08,44.589,,,7760.0,,10.55,,,0.45,,,,,1.0,,combined,mixed,powder,,
52,48.82,27.08,11.76,3.5,3.04,0.71,1.62,2.59,0.88,,,,,15.16,,,,,,,0.35,,,,,2.0,,milling,quartz,powder,11.0,0.0
53,,,,,,,,,,,,,,,,,,,,,0.5,700.0,2.0,30.0,,1.0,multiple,combined,quartz,powder,10.0,
54,,,,,,,,,,15.75,,,,12.0,30000.0,,,7.666666666666667,,,0.4166666666666667,100.0,,,,2.0,carbonation,combined,calcite,fines,30.0,
55,34.32,36.76,8.94,5.22,,2.7,,1.76,8.47,,1.72,14.42,60.67,,,,,,2.68,,0.4,,,30.0,300.0,1.0,mechanical,combined,,powder,20.0,10.0
56,23.150000000000002,10.5,6.3,7.266666666666666,2.733333333333333,1.8333333333333333,2.0500000000000003,1.9666666666666668,5.716666666666666,,,9.265,,15.777142857142858,,,2833.3333333333335,,2.524,,0.48,,,2.8333333333333335,500.0,1.0,mechanical,combined,,powder,8.5,0.0
57,57.01,21.3,10.93,3.45,1.82,1.17,1.58,2.22,,,,,,45.0,,,,12.57,,2199.0,0.36,,,,,1.0,mechanical,combined,calcite,powder,,
58,38.32,24.096666666666668,7.8066666666666675,5.153333333333333,1.37,1.5433333333333337,0.3733333333333333,1.8999999999999997,18.333333333333332,,,175.0,210.55555555555554,,,,,,2.488333333333333,,0.4666666666666666,450.0,2.0,,,1.0,thermal,combined,mixed,fines,20.0,0.0
59,25.12,29.12,5.56,13.18,1.74,1.78,,2.65,15.1,,1.745,,50.515,,,,,,2.1566666666666667,,0.35,650.0,2.0,2.0,,1.0,multiple,other,,powder,35.0,10.0
60,31.0,54.9,3.4,1.9,5.6,,,,,,,,,,,,,,,,0.5,,,,,2.0,,combined,mixed,fines,10.0,
