paper_id,title,material,levels
1,Durability performance of concrete made with fine recycled concrete aggregates,Fine recycled concrete aggregates (FRA),0 (Cement content kept constant; fine aggregates replaced instead)
18,Strength enhancement of artificial aggregate prepared with waste concrete powder and its impact on concrete properties,Waste concrete powder (WCP),100% replacement of natural coarse aggregate
